id,name,base_frequencies,rate_variation,matrix_params,basefreq_params,ratevar_params,datatype,phyml_commandline,raxml_commandline,iqtree_commandline,notes,ALL,ALLX,BEAST,MRBAYES,GAMMA,GAMMAI,LIEMARKOV,GAMMALG4X
1,JC,equal,none,0,0,0,DNA," -o lr  -m 000000 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m JC,,1,1,1,1,0,0,1,0
2,K80,equal,none,1,0,0,DNA," -o lr  -m 010010 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m K80,,1,1,1,1,0,0,1,0
3,TRNEF,equal,none,2,0,0,DNA," -o lr  -m 010020 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m TNe,,1,1,1,0,0,0,1,0
4,K81,equal,none,2,0,0,DNA," -o lr  -m 012210 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m K81,,1,1,0,0,0,0,1,0
5,TVMEF,equal,none,4,0,0,DNA," -o lr  -m 012314 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m TVMe,,1,1,0,0,0,0,0,0
6,TIMEF,equal,none,3,0,0,DNA," -o lr  -m 012230 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m TIMe,,1,1,0,0,0,0,0,0
7,SYM,equal,none,5,0,0,DNA," -o lr  -m 012345 -f '0.25, 0.25, 0.25, 0.25' -c 1",NA,-m SYM,,1,1,1,1,0,0,0,0
8,F81,empirical,none,0,3,0,DNA, -o lr  -m 000000 -f e -c 1,NA,-m F81,,1,1,0,1,0,0,1,0
9,HKY,empirical,none,1,3,0,DNA, -o lr  -m 010010 -f e -c 1,NA,-m HKY,,1,1,1,1,0,0,0,0
10,TRN,empirical,none,2,3,0,DNA, -o lr  -m 010020 -f e -c 1,NA,-m TN,,1,1,1,0,0,0,0,0
11,K81UF,empirical,none,2,3,0,DNA, -o lr  -m 012210 -f e -c 1,NA,-m K81u,,1,1,0,0,0,0,0,0
12,TVM,empirical,none,4,3,0,DNA, -o lr  -m 012314 -f e -c 1,NA,-m TVM,,1,1,0,0,0,0,0,0
13,TIM,empirical,none,3,3,0,DNA, -o lr  -m 012230 -f e -c 1,NA,-m TIM,,1,1,0,0,0,0,0,0
14,GTR,empirical,none,5,3,0,DNA, -o lr  -m 012345 -f e -c 1, -m GTRCAT -V,-m GTR,,1,1,1,1,0,0,0,0
15,F81+X,ML,none,0,3,0,DNA, -o lr  -m 000000 -f m -c 1,NA,-m F81+FO,,0,1,0,0,0,0,1,0
16,HKY+X,ML,none,1,3,0,DNA, -o lr  -m 010010 -f m -c 1,NA,-m HKY+FO,,0,1,1,0,0,0,0,0
17,TRN+X,ML,none,2,3,0,DNA, -o lr  -m 010020 -f m -c 1,NA,-m TN+FO,,0,1,1,0,0,0,0,0
18,K81UF+X,ML,none,2,3,0,DNA, -o lr  -m 012210 -f m -c 1,NA,-m K81u+FO,,0,1,0,0,0,0,0,0
19,TVM+X,ML,none,4,3,0,DNA, -o lr  -m 012314 -f m -c 1,NA,-m TVM+FO,,0,1,0,0,0,0,0,0
20,TIM+X,ML,none,3,3,0,DNA, -o lr  -m 012230 -f m -c 1,NA,-m TIM+FO,,0,1,0,0,0,0,0,0
21,GTR+X,ML,none,5,3,0,DNA, -o lr  -m 012345 -f m -c 1, -m GTRCATX -V,-m GTR+FO,,0,1,1,0,0,0,0,0
22,LG,model,none,0,0,0,protein, -o lr  -m LG -d aa -f m -c 1, -m PROTCATLG -V,,,1,1,0,0,0,0,0,0
23,WAG,model,none,0,0,0,protein, -o lr  -m WAG -d aa -f m -c 1, -m PROTCATWAG -V,,,1,1,1,1,0,0,0,0
